id,input,output,label
1,"The 26-year-old midfielder has signed ""an initial one-year deal"", with Ray McKinnon expressing delight at his first signing as manager at Tannadice.
""He is exactly the type of player we need going into this season,"" he said.
""Not only is he the right age and a good footballer, but he is a ball winner who is strong in the tackle and will protect our central defenders.""
Murdoch had joined County last summer after his departure from Fleetwood Town.
But half of his 34 appearances came as a substitute and he followed fellow midfielder Rocco Quinn out of the Scottish Premiership club.
Murdoch, who began his career with Falkirk and had a loan spell with Northampton Town before joining Fleetwood in 2013, told United's website: ""I'm delighted to be joining Dundee United - it was an easy decision to make.
""It's a massive club and I want to help them get back to the Premiership, where they should be.""
Following United's relegation from the top flight, 13 players have exited Tannadice along with manager Mixu Paatelainen and his backroom staff.
While Murdoch and Quinn have exited County, manager Jim McIntyre has already recruited three defenders and a goalkeeper, Aaron McCarey from Wolves, this summer.
Christopher Routis has arrived from Bradford City, Kenny van der Weg from Breda and Erik Cikos from Slovan Bratislava.",Murdoch has signed for Dundee United after previously playing for County.,
2,"The 26-year-old midfielder has signed ""an initial one-year deal"", with Ray McKinnon expressing delight at his first signing as manager at Tannadice.
""He is exactly the type of player we need going into this season,"" he said.
""Not only is he the right age and a good footballer, but he is a ball winner who is strong in the tackle and will protect our central defenders.""
Murdoch had joined County last summer after his departure from Fleetwood Town.
But half of his 34 appearances came as a substitute and he followed fellow midfielder Rocco Quinn out of the Scottish Premiership club.
Murdoch, who began his career with Falkirk and had a loan spell with Northampton Town before joining Fleetwood in 2013, told United's website: ""I'm delighted to be joining Dundee United - it was an easy decision to make.
""It's a massive club and I want to help them get back to the Premiership, where they should be.""
Following United's relegation from the top flight, 13 players have exited Tannadice along with manager Mixu Paatelainen and his backroom staff.
While Murdoch and Quinn have exited County, manager Jim McIntyre has already recruited three defenders and a goalkeeper, Aaron McCarey from Wolves, this summer.
Christopher Routis has arrived from Bradford City, Kenny van der Weg from Breda and Erik Cikos from Slovan Bratislava.",Dundee United have signed former Dundee United captain James Murdoch.,
3,"Foreign Minister Sushma Swaraj said Kulbhushan Jadhav was ""kidnapped"" and tried on ""concocted charges"".
Mr Jadhav was arrested last year and convicted on Monday of ""espionage and sabotage activities against Pakistan"".
Shortly after his arrest, Islamabad released a video in which he was shown admitting involvement in spying.
India has always questioned the alleged confession, saying that it was extracted under duress.
There are differing accounts of how and where Kulbhushan Jadhav was detained.
Pakistan says he was detained on 3 March 2016 in the restive Balochistan province, which has been hit by a separatist insurgency that Islamabad accuses India of backing. India says he was kidnapped by Pakistan while he was in Iran.
Speaking in the Indian parliament on Tuesday, Ms Swaraj described the death sentence as ""an indefensible verdict"" and warned Pakistan to ""consider the consequences"".
Home Minister Rajnath Singh promised that the government would do ""whatever it takes to make sure Mr Jadhav gets justice"".
On Monday, Pakistan said he had been tried by a military court and sentenced to death.
Pakistan said he told the court he had been ordered to ""plan, coordinate, and organise espionage/sabotage activities aiming to destabilise and wage war against Pakistan"".
He has 40 days to appeal to the court, Pakistani media report. No date was given for his execution.
The nuclear-armed neighbours have a long history of diplomatic spats and Delhi and Islamabad often accuse each other of sending spies into their territories.
In November, Pakistan withdrew six officials from its mission in Delhi after they were outed as suspected spies by India.
It later leaked to the press the names and photos of eight alleged Indian spies working from India's mission in Islamabad.
But executions for spying are rare. In 1999, Pakistan hanged Sheikh Shamim 10 years after his conviction for spying.
Sarabjit Singh, an Indian man sentenced to death for spying in 1991, died in prison in 2013 while on death row after an attack by other prisoners.",India has condemned the death sentence given to a former Indian spy for spying in Pakistan.,1
4,"Foreign Minister Sushma Swaraj said Kulbhushan Jadhav was ""kidnapped"" and tried on ""concocted charges"".
Mr Jadhav was arrested last year and convicted on Monday of ""espionage and sabotage activities against Pakistan"".
Shortly after his arrest, Islamabad released a video in which he was shown admitting involvement in spying.
India has always questioned the alleged confession, saying that it was extracted under duress.
There are differing accounts of how and where Kulbhushan Jadhav was detained.
Pakistan says he was detained on 3 March 2016 in the restive Balochistan province, which has been hit by a separatist insurgency that Islamabad accuses India of backing. India says he was kidnapped by Pakistan while he was in Iran.
Speaking in the Indian parliament on Tuesday, Ms Swaraj described the death sentence as ""an indefensible verdict"" and warned Pakistan to ""consider the consequences"".
Home Minister Rajnath Singh promised that the government would do ""whatever it takes to make sure Mr Jadhav gets justice"".
On Monday, Pakistan said he had been tried by a military court and sentenced to death.
Pakistan said he told the court he had been ordered to ""plan, coordinate, and organise espionage/sabotage activities aiming to destabilise and wage war against Pakistan"".
He has 40 days to appeal to the court, Pakistani media report. No date was given for his execution.
The nuclear-armed neighbours have a long history of diplomatic spats and Delhi and Islamabad often accuse each other of sending spies into their territories.
In November, Pakistan withdrew six officials from its mission in Delhi after they were outed as suspected spies by India.
It later leaked to the press the names and photos of eight alleged Indian spies working from India's mission in Islamabad.
But executions for spying are rare. In 1999, Pakistan hanged Sheikh Shamim 10 years after his conviction for spying.
Sarabjit Singh, an Indian man sentenced to death for spying in 1991, died in prison in 2013 while on death row after an attack by other prisoners.","India says it will do ""whatever it takes"" to ensure justice for a man sentenced to death in Pakistan on charges of spying.",0
5,"The medal - won as a teenager at his first World Cup - was estimated to be worth between £70,000 and £140,000.
The three-time World Cup winner is selling all three of his winner's medals at auction, along with more than 2,000 items of personal memorabilia.
His winning medal from the 1962 World Cup in Chile was sold for £140,800.
The memorabilia, which includes shirts and trophies, is being sold over three days and his winner's medal from the 1970 World Cup, where he was part of the Brazilian team regarded as one of the greatest in history, has yet to go under the hammer.
A one-off Jules Rimet trophy made for the former striker after Brazil's triumph in Mexico in 1970 is the most expensive item being auctioned, with an estimated price tag of £281,000 to £420,000.
On the first day of auction, the boots worn by Pele in the classic football film Escape to Victory sold for £8,025.
Other items sold include L'Equipe athlete of the century trophy with book (£20,480), his 2007 Fifa presidential award (£30,720) and a 1,000th goal tribute crown with book (£162,500).
Pele is the only player to have won the World Cup three times and is regarded by many as being the greatest footballer in history, scoring 1,281 goals in 1,363 matches and appearing 91 times for Brazil.",Pele's World Cup winner's medal has been sold at auction.,0
6,"The medal - won as a teenager at his first World Cup - was estimated to be worth between £70,000 and £140,000.
The three-time World Cup winner is selling all three of his winner's medals at auction, along with more than 2,000 items of personal memorabilia.
His winning medal from the 1962 World Cup in Chile was sold for £140,800.
The memorabilia, which includes shirts and trophies, is being sold over three days and his winner's medal from the 1970 World Cup, where he was part of the Brazilian team regarded as one of the greatest in history, has yet to go under the hammer.
A one-off Jules Rimet trophy made for the former striker after Brazil's triumph in Mexico in 1970 is the most expensive item being auctioned, with an estimated price tag of £281,000 to £420,000.
On the first day of auction, the boots worn by Pele in the classic football film Escape to Victory sold for £8,025.
Other items sold include L'Equipe athlete of the century trophy with book (£20,480), his 2007 Fifa presidential award (£30,720) and a 1,000th goal tribute crown with book (£162,500).
Pele is the only player to have won the World Cup three times and is regarded by many as being the greatest footballer in history, scoring 1,281 goals in 1,363 matches and appearing 91 times for Brazil.",Brazilian footballer Pele has sold his World Cup winning medal for £1.5m at auction in London.,1
7,"The motorist received a Â£100 fine and three points on their licence.
Dorset Police said when the driver was stopped he said: ""I was trying to find that new Sam Smith song on You tube because I didn't have it on my phone.""
The singer has released the song Writing's On The Wall as the theme to the new James Bond film Spectre.
Officers were carrying out checks on traffic offences on Thursday and stopped vehicles which had no insurance as well as others breaking the speed limit.
Spectre sees Daniel Craig return as British spy James Bond, aka 007, in a globe-trotting blockbuster named after a sinister criminal syndicate.
Two-time Oscar winner Christoph Waltz, French actress Lea Seydoux and Italy's Monica Bellucci also appear in the 24th official entry in the long-running series.",A man has been stopped by police in Dorset for driving at the speed of a car.,1
8,"The motorist received a Â£100 fine and three points on their licence.
Dorset Police said when the driver was stopped he said: ""I was trying to find that new Sam Smith song on You tube because I didn't have it on my phone.""
The singer has released the song Writing's On The Wall as the theme to the new James Bond film Spectre.
Officers were carrying out checks on traffic offences on Thursday and stopped vehicles which had no insurance as well as others breaking the speed limit.
Spectre sees Daniel Craig return as British spy James Bond, aka 007, in a globe-trotting blockbuster named after a sinister criminal syndicate.
Two-time Oscar winner Christoph Waltz, French actress Lea Seydoux and Italy's Monica Bellucci also appear in the 24th official entry in the long-running series.",A driver stopped while using his mobile phone told police he was trying to find the new Sam Smith song on YouTube.,0
9,"Glan Clwyd Hospital in Bodelwyddan had a two-star ""improvement is necessary"" rating in May in a report warning of major non-compliance with regulations.
Denbigh Infirmary's rating of one star was called ""abysmal"" by Clwyd West AM Darren Millar.
Both have now achieved four-star grades.
Control measures to combat clostridium difficile (C.diff) have also been stepped up at Glan Clwyd and Wrexham Maelor Hospital.
Three deaths between April and June in north Wales were said to be directly attributable to the infection, while it played a part in two others.
The number of cases of C.diff per 100,000 people was 51 in the Betsi Cadwaladr health board area, compared to 36 in Wales and 25 in England.
Tracey Cooper, the board's assistant director of nursing with responsibility for infection prevention, said in a report that the food-hygiene issue had been addressed immediately and a programme of unannounced kitchen inspections had started.
The board will discuss the report and C.diff and MRSA infection rates during a meeting on Tuesday.","Two hospitals in north Wales have been given ""adequate"" grades following a report into the spread of a deadly infection.",1
10,"Glan Clwyd Hospital in Bodelwyddan had a two-star ""improvement is necessary"" rating in May in a report warning of major non-compliance with regulations.
Denbigh Infirmary's rating of one star was called ""abysmal"" by Clwyd West AM Darren Millar.
Both have now achieved four-star grades.
Control measures to combat clostridium difficile (C.diff) have also been stepped up at Glan Clwyd and Wrexham Maelor Hospital.
Three deaths between April and June in north Wales were said to be directly attributable to the infection, while it played a part in two others.
The number of cases of C.diff per 100,000 people was 51 in the Betsi Cadwaladr health board area, compared to 36 in Wales and 25 in England.
Tracey Cooper, the board's assistant director of nursing with responsibility for infection prevention, said in a report that the food-hygiene issue had been addressed immediately and a programme of unannounced kitchen inspections had started.
The board will discuss the report and C.diff and MRSA infection rates during a meeting on Tuesday.",Two hospitals which had serious standard failings have now been given improved ratings.,0
